날짜,순위,팀명,경기,승,패,무,승률,최근10경기
2025.09.29,2,한화,141,82,56,3,0.594,6승0무4패
2025.09.29,3,SSG,140,73,63,4,0.537,7승0무3패
2025.09.29,4,삼성,142,73,67,2,0.521,8승0무2패
2025.09.29,5,KT,141,70,67,4,0.511,5승0무5패
2025.09.29,6,NC,141,68,67,6,0.504,7승0무3패
2025.09.29,7,롯데,143,66,71,6,0.482,3승0무7패
2025.09.29,8,KIA,140,63,73,4,0.463,2승0무8패
2025.09.29,9,두산,143,60,77,6,0.438,4승0무6패
2025.09.29,10,키움,143,47,92,4,0.338,4승0무6패
2025.09.30,1,LG,143,85,55,3,0.607,5승0무5패
2025.09.30,2,한화,142,83,56,3,0.597,7승0무3패
2025.09.30,3,SSG,141,74,63,4,0.540,7승0무3패
2025.09.30,4,삼성,143,74,67,2,0.525,8승0무2패
2025.09.30,5,NC,142,69,67,6,0.507,7승0무3패
2025.09.30,6,KT,142,70,68,4,0.507,4승0무6패
2025.09.30,7,롯데,144,66,72,6,0.478,2승0무8패
2025.09.30,8,KIA,141,63,74,4,0.460,2승0무8패
2025.09.30,9,두산,144,61,77,6,0.442,5승0무5패
2025.09.30,10,키움,144,47,93,4,0.336,3승0무7패
2025.10.01,1,LG,144,85,56,3,0.603,4승0무6패
2025.10.01,2,한화,143,83,57,3,0.593,6승0무4패
2025.10.01,3,SSG,142,75,63,4,0.543,8승0무2패
2025.10.01,4,삼성,143,74,67,2,0.525,8승0무2패
2025.10.01,5,NC,143,70,67,6,0.511,8승0무2패
2025.10.01,6,KT,143,71,68,4,0.511,5승0무5패
2025.10.01,7,롯데,144,66,72,6,0.478,2승0무8패
2025.10.01,8,KIA,142,63,75,4,0.457,2승0무8패
2025.10.01,9,두산,144,61,77,6,0.442,5승0무5패
2025.10.01,10,키움,144,47,93,4,0.336,3승0무7패
2025.10.02,1,LG,144,85,56,3,0.603,4승0무6패
2025.10.02,2,한화,143,83,57,3,0.593,6승0무4패
2025.10.02,3,SSG,143,75,64,4,0.540,7승0무3패
2025.10.02,4,삼성,143,74,67,2,0.525,8승0무2패
2025.10.02,5,NC,143,70,67,6,0.511,8승0무2패
2025.10.02,6,KT,143,71,68,4,0.511,5승0무5패
2025.10.02,7,롯데,144,66,72,6,0.478,2승0무8패
2025.10.02,8,KIA,143,64,75,4,0.460,3승0무7패
2025.10.02,9,두산,144,61,77,6,0.442,5승0무5패
2025.10.02,10,키움,144,47,93,4,0.336,3승0무7패
2025.10.03,1,LG,144,85,56,3,0.603,4승0무6패
2025.10.03,2,한화,144,83,57,4,0.593,5승1무4패
2025.10.03,3,SSG,143,75,64,4,0.540,7승0무3패
2025.10.03,4,삼성,143,74,67,2,0.525,8승0무2패
2025.10.03,5,NC,143,70,67,6,0.511,8승0무2패
2025.10.03,6,KT,144,71,68,5,0.511,5승1무4패
2025.10.03,7,롯데,144,66,72,6,0.478,2승0무8패
2025.10.03,8,KIA,143,64,75,4,0.460,3승0무7패
2025.10.03,9,두산,144,61,77,6,0.442,5승0무5패
2025.10.03,10,키움,144,47,93,4,0.336,3승0무7패
2025.10.04,1,LG,144,85,56,3,0.603,4승0무6패
2025.10.04,2,한화,144,83,57,4,0.593,5승1무4패
2025.10.04,3,SSG,144,75,65,4,0.536,6승0무4패
